docIdx	label
A10125	talk.politics.mideast
A10126	talk.politics.mideast
A10127	talk.politics.mideast
A10128	talk.politics.mideast
A10129	talk.politics.mideast
A1013	comp.graphics
A10130	talk.politics.mideast
A10131	talk.politics.mideast
A10132	talk.politics.mideast
A10133	talk.politics.mideast
A10134	talk.politics.mideast
A10135	talk.politics.mideast
A10136	talk.politics.mideast
A10137	talk.politics.mideast
A10138	talk.politics.mideast
A10139	talk.politics.mideast
A1014	comp.graphics
A10140	talk.politics.mideast
A10141	talk.politics.mideast
A10142	talk.politics.mideast
A10143	talk.politics.mideast
A10144	talk.politics.mideast
A10145	talk.politics.mideast
A10146	talk.politics.mideast
A10147	talk.politics.mideast
A10148	talk.politics.mideast
A10149	talk.politics.mideast
A1015	comp.graphics
A10150	talk.politics.mideast
A10151	talk.politics.mideast
A10152	talk.politics.mideast
A10153	talk.politics.mideast
A10154	talk.politics.mideast
A10155	talk.politics.mideast
A10156	talk.politics.mideast
A10157	talk.politics.mideast
A10158	talk.politics.mideast
A10159	talk.politics.mideast
A1016	comp.graphics
A10160	talk.politics.mideast
A10161	talk.politics.mideast
A10162	talk.politics.mideast
A10163	talk.politics.mideast
A10164	talk.politics.mideast
A10165	talk.politics.mideast
A10166	talk.politics.mideast
A10167	talk.politics.mideast
A10168	talk.politics.mideast
A10169	talk.politics.mideast
A1017	comp.graphics
A10170	talk.politics.mideast
A10171	talk.politics.mideast
A10172	talk.politics.mideast
A10173	talk.politics.mideast
A10174	talk.politics.mideast
A10175	talk.politics.mideast
A10176	talk.politics.mideast
A10177	talk.politics.mideast
A10178	talk.politics.mideast
A10179	talk.politics.mideast
A1018	comp.graphics
A10180	talk.politics.mideast
A10181	talk.politics.mideast
A10182	talk.politics.mideast
A10183	talk.politics.mideast
A10184	talk.politics.mideast
A10185	talk.politics.mideast
A10186	talk.politics.mideast
A10187	talk.politics.mideast
A10188	talk.politics.mideast
A10189	talk.politics.mideast
A1019	comp.graphics
A10190	talk.politics.mideast
A10191	talk.politics.mideast
A10192	talk.politics.mideast
A10193	talk.politics.mideast
A10194	talk.politics.mideast
A10195	talk.politics.mideast
A10196	talk.politics.mideast
A10197	talk.politics.mideast
A10198	talk.politics.mideast
A10199	talk.politics.mideast
A102	alt.atheism
A1020	comp.graphics
A10200	talk.politics.mideast
A10201	talk.politics.mideast
A10202	talk.politics.mideast
A10203	talk.politics.mideast
A10204	talk.politics.mideast
A10205	talk.politics.mideast
A10206	talk.politics.mideast
A10207	talk.politics.mideast
A10208	talk.politics.mideast
A10209	talk.politics.mideast
A1021	comp.graphics
A10210	talk.politics.mideast
A10211	talk.politics.mideast
A10212	talk.politics.mideast
A10213	talk.politics.mideast
A10214	talk.politics.mideast
A10215	talk.politics.mideast
A10216	talk.politics.mideast
A10217	talk.politics.mideast
A10218	talk.politics.mideast
A10219	talk.politics.mideast
A1022	comp.graphics
A10220	talk.politics.mideast
A10221	talk.politics.mideast
A10222	talk.politics.mideast
A10223	talk.politics.mideast
A10224	talk.politics.mideast
A10225	talk.politics.mideast
A10226	talk.politics.mideast
A10227	talk.politics.mideast
A10228	talk.politics.mideast
A10229	talk.politics.mideast
A1023	comp.graphics
A10230	talk.politics.mideast
A10231	talk.politics.mideast
A10232	talk.politics.mideast
A10233	talk.politics.mideast
A10234	talk.politics.mideast
A10235	talk.politics.mideast
A10236	talk.politics.mideast
A10237	talk.politics.mideast
A10238	talk.politics.mideast
A10239	talk.politics.mideast
A1024	comp.graphics
A10240	talk.politics.mideast
A10241	talk.politics.mideast
A10242	talk.politics.mideast
A10243	talk.politics.mideast
A10244	talk.politics.mideast
A10245	talk.politics.mideast
A10246	talk.politics.mideast
A10247	talk.politics.mideast
A10248	talk.politics.mideast
A10249	talk.politics.mideast
A1025	comp.graphics
A10250	talk.politics.mideast
A10251	talk.politics.mideast
A10252	talk.politics.mideast
A10253	talk.politics.mideast
A10254	talk.politics.mideast
A10255	talk.politics.mideast
A10256	talk.politics.mideast
A10257	talk.politics.mideast
A10258	talk.politics.mideast
A10259	talk.politics.mideast
A1026	comp.graphics
A10260	talk.politics.mideast
A10261	talk.politics.mideast
A10262	talk.politics.mideast
A10263	talk.politics.mideast
A10264	talk.politics.mideast
A10265	talk.politics.mideast
A10266	talk.politics.mideast
A10267	talk.politics.mideast
A10268	talk.politics.mideast
A10269	talk.politics.mideast
A1027	comp.graphics
A10270	talk.politics.mideast
A10271	talk.politics.mideast
A10272	talk.politics.mideast
A10273	talk.politics.mideast
A10274	talk.politics.mideast
A10275	talk.politics.mideast
A10276	talk.politics.mideast
A10277	talk.politics.mideast
A10278	talk.politics.mideast
A10279	talk.politics.mideast
A1028	comp.graphics
A10280	talk.politics.mideast
A10281	talk.politics.mideast
A10282	talk.politics.mideast
A10283	talk.politics.mideast
A10284	talk.politics.mideast
A10285	talk.politics.mideast
A10286	talk.politics.mideast
A10287	talk.politics.mideast
A10288	talk.politics.mideast
A10289	talk.politics.mideast
A1029	comp.graphics
A10290	talk.politics.mideast
A10291	talk.politics.mideast
A10292	talk.politics.mideast
A10293	talk.politics.mideast
A10294	talk.politics.mideast
A10295	talk.politics.mideast
A10296	talk.politics.mideast
A10297	talk.politics.mideast
A10298	talk.politics.mideast
A10299	talk.politics.mideast
A103	alt.atheism
A1030	comp.graphics
A10300	talk.politics.mideast
A10301	talk.politics.mideast
A10302	talk.politics.mideast
A10303	talk.politics.mideast
A10304	talk.politics.mideast
A10305	talk.politics.mideast
A10306	talk.politics.mideast
A10307	talk.politics.mideast
A10308	talk.politics.mideast
A10309	talk.politics.mideast
A1031	comp.graphics
A10310	talk.politics.mideast
A10311	talk.politics.mideast
A10312	talk.politics.mideast
A10313	talk.politics.mideast
A10314	talk.politics.mideast
A10315	talk.politics.mideast
A10316	talk.politics.mideast
A10317	talk.politics.mideast
A10318	talk.politics.mideast
A10319	talk.politics.mideast
A1032	comp.graphics
A10320	talk.politics.mideast
A10321	talk.politics.mideast
A10322	talk.politics.mideast
A10323	talk.politics.mideast
A10324	talk.politics.mideast
A10325	talk.politics.mideast
A10326	talk.politics.mideast
A10327	talk.politics.mideast
A10328	talk.politics.mideast
A10329	talk.politics.mideast
A1033	comp.graphics
A10330	talk.politics.mideast
A10331	talk.politics.mideast
A10332	talk.politics.mideast
A10333	talk.politics.mideast
A10334	talk.politics.mideast
A10335	talk.politics.mideast
A10336	talk.politics.mideast
A10337	talk.politics.mideast
A10338	talk.politics.mideast
A10339	talk.politics.mideast
A1034	comp.graphics
A10340	talk.politics.mideast
A10341	talk.politics.mideast
A10342	talk.politics.mideast
A10343	talk.politics.mideast
A10344	talk.politics.mideast
A10345	talk.politics.mideast
A10346	talk.politics.mideast
A10347	talk.politics.mideast
A10348	talk.politics.mideast
A10349	talk.politics.mideast
A1035	comp.graphics
A10350	talk.politics.mideast
A10351	talk.politics.mideast
A10352	talk.politics.mideast
A10353	talk.politics.mideast
A10354	talk.politics.mideast
A10355	talk.politics.mideast
A10356	talk.politics.mideast
A10357	talk.politics.mideast
A10358	talk.politics.mideast
A10359	talk.politics.mideast
A1036	comp.graphics
A10360	talk.politics.mideast
A10361	talk.politics.mideast
A10362	talk.politics.mideast
A10363	talk.politics.mideast
A10364	talk.politics.mideast
A10365	talk.politics.mideast
A10366	talk.politics.mideast
A10367	talk.politics.mideast
A10368	talk.politics.mideast
A10369	talk.politics.mideast
A1037	comp.graphics
A10370	talk.politics.mideast
A10371	talk.politics.mideast
A10372	talk.politics.mideast
A10373	talk.politics.mideast
A10374	talk.politics.mideast
A10375	talk.politics.mideast
A10376	talk.politics.mideast
A10377	talk.politics.mideast
A10378	talk.politics.mideast
A10379	talk.politics.mideast
A1038	comp.graphics
A10380	talk.politics.mideast
A10381	talk.politics.mideast
A10382	talk.politics.mideast
A10383	talk.politics.mideast
A10384	talk.politics.mideast
A10385	talk.politics.mideast
A10386	talk.politics.mideast
A10387	talk.politics.mideast
A10388	talk.politics.mideast
A10389	talk.politics.mideast
A1039	comp.graphics
A10390	talk.politics.mideast
A10391	talk.politics.mideast
A10392	talk.politics.mideast
A10393	talk.politics.mideast
A10394	talk.politics.mideast
A10395	talk.politics.mideast
A10396	talk.politics.mideast
A10397	talk.politics.mideast
A10398	talk.politics.mideast
A10399	talk.politics.mideast
A104	alt.atheism
A1040	comp.graphics
A10400	talk.politics.mideast
A10401	talk.politics.mideast
A10402	talk.politics.mideast
A10403	talk.politics.mideast
A10404	talk.politics.mideast
A10405	talk.politics.mideast
A10406	talk.politics.mideast
A10407	talk.politics.mideast
A10408	talk.politics.mideast
A10409	talk.politics.mideast
A1041	comp.graphics
A10410	talk.politics.mideast
A10411	talk.politics.mideast
A10412	talk.politics.mideast
A10413	talk.politics.mideast
A10414	talk.politics.mideast
A10415	talk.politics.mideast
A10416	talk.politics.mideast
A10417	talk.politics.mideast
A10418	talk.politics.mideast
A10419	talk.politics.mideast
A1042	comp.graphics
A10420	talk.politics.mideast
A10421	talk.politics.mideast
A10422	talk.politics.mideast
A10423	talk.politics.mideast
A10424	talk.politics.mideast
A10425	talk.politics.mideast
A10426	talk.politics.mideast
A10427	talk.politics.mideast
A10428	talk.politics.mideast
A10429	talk.politics.mideast
A1043	comp.graphics
A10430	talk.politics.misc
A10431	talk.politics.misc
A10432	talk.politics.misc
A10433	talk.politics.misc
A10434	talk.politics.misc
A10435	talk.politics.misc
A10436	talk.politics.misc
A10437	talk.politics.misc
A10438	talk.politics.misc
A10439	talk.politics.misc
A1044	comp.graphics
A10440	talk.politics.misc
A10441	talk.politics.misc
A10442	talk.politics.misc
A10443	talk.politics.misc
A10444	talk.politics.misc
A10445	talk.politics.misc
A10446	talk.politics.misc
A10447	talk.politics.misc
A10448	talk.politics.misc
A10449	talk.politics.misc
A1045	comp.graphics
A10450	talk.politics.misc
A10451	talk.politics.misc
A10452	talk.politics.misc
A10453	talk.politics.misc
A10454	talk.politics.misc
A10455	talk.politics.misc
A10456	talk.politics.misc
A10457	talk.politics.misc
A10458	talk.politics.misc
A10459	talk.politics.misc
A1046	comp.graphics
A10460	talk.politics.misc
A10461	talk.politics.misc
A10462	talk.politics.misc
A10463	talk.politics.misc
A10464	talk.politics.misc
A10465	talk.politics.misc
A10466	talk.politics.misc
A10467	talk.politics.misc
A10468	talk.politics.misc
A10469	talk.politics.misc
A1047	comp.graphics
A10470	talk.politics.misc
A10471	talk.politics.misc
A10472	talk.politics.misc
A10473	talk.politics.misc
A10474	talk.politics.misc
A10475	talk.politics.misc
A10476	talk.politics.misc
A10477	talk.politics.misc
A10478	talk.politics.misc
A10479	talk.politics.misc
A1048	comp.graphics
A10480	talk.politics.misc
A10481	talk.politics.misc
A10482	talk.politics.misc
A10483	talk.politics.misc
A10484	talk.politics.misc
A10485	talk.politics.misc
A10486	talk.politics.misc
A10487	talk.politics.misc
A10488	talk.politics.misc
A10489	talk.politics.misc
A1049	comp.graphics
A10490	talk.politics.misc
A10491	talk.politics.misc
A10492	talk.politics.misc
A10493	talk.politics.misc
A10494	talk.politics.misc
A10495	talk.politics.misc
A10496	talk.politics.misc
A10497	talk.politics.misc
A10498	talk.politics.misc
A10499	talk.politics.misc
A105	alt.atheism
A1050	comp.graphics
A10500	talk.politics.misc
A10501	talk.politics.misc
A10502	talk.politics.misc
A10503	talk.politics.misc
A10504	talk.politics.misc
A10505	talk.politics.misc
A10506	talk.politics.misc
A10507	talk.politics.misc
A10508	talk.politics.misc
A10509	talk.politics.misc
A1051	comp.graphics
A10510	talk.politics.misc
A10511	talk.politics.misc
A10512	talk.politics.misc
A10513	talk.politics.misc
A10514	talk.politics.misc
A10515	talk.politics.misc
A10516	talk.politics.misc
A10517	talk.politics.misc
A10518	talk.politics.misc
A10519	talk.politics.misc
A1052	comp.graphics
A10520	talk.politics.misc
A10521	talk.politics.misc
A10522	talk.politics.misc
A10523	talk.politics.misc
A10524	talk.politics.misc
A10525	talk.politics.misc
A10526	talk.politics.misc
A10527	talk.politics.misc
A10528	talk.politics.misc
A10529	talk.politics.misc
A1053	comp.graphics
A10530	talk.politics.misc
A10531	talk.politics.misc
A10532	talk.politics.misc
A10533	talk.politics.misc
A10534	talk.politics.misc
A10535	talk.politics.misc
A10536	talk.politics.misc
A10537	talk.politics.misc
A10538	talk.politics.misc
A10539	talk.politics.misc
A1054	comp.graphics
A10540	talk.politics.misc
A10541	talk.politics.misc
A10542	talk.politics.misc
A10543	talk.politics.misc
A10544	talk.politics.misc
A10545	talk.politics.misc
A10546	talk.politics.misc
A10547	talk.politics.misc
A10548	talk.politics.misc
A10549	talk.politics.misc
A1055	comp.graphics
A10550	talk.politics.misc
A10551	talk.politics.misc
A10552	talk.politics.misc
A10553	talk.politics.misc
A10554	talk.politics.misc
A10555	talk.politics.misc
A10556	talk.politics.misc
A10557	talk.politics.misc
A10558	talk.politics.misc
A10559	talk.politics.misc
A1056	comp.graphics
A10560	talk.politics.misc
A10561	talk.politics.misc
A10562	talk.politics.misc
A10563	talk.politics.misc
A10564	talk.politics.misc
A10565	talk.politics.misc
A10566	talk.politics.misc
A10567	talk.politics.misc
A10568	talk.politics.misc
A10569	talk.politics.misc
A1057	comp.graphics
A10570	talk.politics.misc
A10571	talk.politics.misc
A10572	talk.politics.misc
A10573	talk.politics.misc
A10574	talk.politics.misc
A10575	talk.politics.misc
A10576	talk.politics.misc
A10577	talk.politics.misc
A10578	talk.politics.misc
A10579	talk.politics.misc
A1058	comp.graphics
A10580	talk.politics.misc
A10581	talk.politics.misc
A10582	talk.politics.misc
A10583	talk.politics.misc
A10584	talk.politics.misc
A10585	talk.politics.misc
A10586	talk.politics.misc
A10587	talk.politics.misc
A10588	talk.politics.misc
A10589	talk.politics.misc
A1059	comp.graphics
A10590	talk.politics.misc
A10591	talk.politics.misc
A10592	talk.politics.misc
A10593	talk.politics.misc
A10594	talk.politics.misc
A10595	talk.politics.misc
A10596	talk.politics.misc
A10597	talk.politics.misc
A10598	talk.politics.misc
A10599	talk.politics.misc
A106	alt.atheism
A1060	comp.graphics
A10600	talk.politics.misc
A10601	talk.politics.misc
A10602	talk.politics.misc
A10603	talk.politics.misc
A10604	talk.politics.misc
A10605	talk.politics.misc
A10606	talk.politics.misc
A10607	talk.politics.misc
A10608	talk.politics.misc
A10609	talk.politics.misc
A1061	comp.graphics
A10610	talk.politics.misc
A10611	talk.politics.misc
A10612	talk.politics.misc
A10613	talk.politics.misc
A10614	talk.politics.misc
A10615	talk.politics.misc
A10616	talk.politics.misc
A10617	talk.politics.misc
A10618	talk.politics.misc
A10619	talk.politics.misc
A1062	comp.os.ms-windows.misc
A10620	talk.politics.misc
A10621	talk.politics.misc
A10622	talk.politics.misc
A10623	talk.politics.misc
A10624	talk.politics.misc
A10625	talk.politics.misc
A10626	talk.politics.misc
A10627	talk.politics.misc
A10628	talk.politics.misc
A10629	talk.politics.misc
A1063	comp.os.ms-windows.misc
A10630	talk.politics.misc
A10631	talk.politics.misc
A10632	talk.politics.misc
A10633	talk.politics.misc
A10634	talk.politics.misc
A10635	talk.politics.misc
A10636	talk.politics.misc
A10637	talk.politics.misc
A10638	talk.politics.misc
A10639	talk.politics.misc
A1064	comp.os.ms-windows.misc
A10640	talk.politics.misc
A10641	talk.politics.misc
A10642	talk.politics.misc
A10643	talk.politics.misc
A10644	talk.politics.misc
A10645	talk.politics.misc
A10646	talk.politics.misc
A10647	talk.politics.misc
A10648	talk.politics.misc
A10649	talk.politics.misc
A1065	comp.os.ms-windows.misc
A10650	talk.politics.misc
A10651	talk.politics.misc
A10652	talk.politics.misc
A10653	talk.politics.misc
A10654	talk.politics.misc
A10655	talk.politics.misc
A10656	talk.politics.misc
A10657	talk.politics.misc
A10658	talk.politics.misc
A10659	talk.politics.misc
A1066	comp.os.ms-windows.misc
A10660	talk.politics.misc
A10661	talk.politics.misc
A10662	talk.politics.misc
A10663	talk.politics.misc
A10664	talk.politics.misc
A10665	talk.politics.misc
A10666	talk.politics.misc
A10667	talk.politics.misc
A10668	talk.politics.misc
A10669	talk.politics.misc
A1067	comp.os.ms-windows.misc
A10670	talk.politics.misc
A10671	talk.politics.misc
A10672	talk.politics.misc
A10673	talk.politics.misc
A10674	talk.politics.misc
A10675	talk.politics.misc
A10676	talk.politics.misc
A10677	talk.politics.misc
A10678	talk.politics.misc
A10679	talk.politics.misc
A1068	comp.os.ms-windows.misc
A10680	talk.politics.misc
A10681	talk.politics.misc
A10682	talk.politics.misc
A10683	talk.politics.misc
A10684	talk.politics.misc
A10685	talk.politics.misc
A10686	talk.politics.misc
A10687	talk.politics.misc
A10688	talk.politics.misc
A10689	talk.politics.misc
A1069	comp.os.ms-windows.misc
A10690	talk.politics.misc
A10691	talk.politics.misc
A10692	talk.politics.misc
A10693	talk.politics.misc
A10694	talk.politics.misc
A10695	talk.politics.misc
A10696	talk.politics.misc
A10697	talk.politics.misc
A10698	talk.politics.misc
A10699	talk.politics.misc
A107	alt.atheism
A1070	comp.os.ms-windows.misc
A10700	talk.politics.misc
A10701	talk.politics.misc
A10702	talk.politics.misc
A10703	talk.politics.misc
A10704	talk.politics.misc
A10705	talk.politics.misc
A10706	talk.politics.misc
A10707	talk.politics.misc
A10708	talk.politics.misc
A10709	talk.politics.misc
A1071	comp.os.ms-windows.misc
A10710	talk.politics.misc
A10711	talk.politics.misc
A10712	talk.politics.misc
A10713	talk.politics.misc
A10714	talk.politics.misc
A10715	talk.politics.misc
A10716	talk.politics.misc
A10717	talk.politics.misc
A10718	talk.politics.misc
A10719	talk.politics.misc
A1072	comp.os.ms-windows.misc
A10720	talk.politics.misc
A10721	talk.politics.misc
A10722	talk.politics.misc
A10723	talk.politics.misc
A10724	talk.politics.misc
A10725	talk.politics.misc
A10726	talk.politics.misc
A10727	talk.politics.misc
A10728	talk.politics.misc
A10729	talk.politics.misc
A1073	comp.os.ms-windows.misc
A10730	talk.politics.misc
A10731	talk.politics.misc
A10732	talk.politics.misc
A10733	talk.politics.misc
A10734	talk.politics.misc
A10735	talk.politics.misc
A10736	talk.politics.misc
A10737	talk.politics.misc
A10738	talk.politics.misc
A10739	talk.politics.misc
A1074	comp.os.ms-windows.misc
A10740	talk.politics.misc
A10741	talk.politics.misc
A10742	talk.politics.misc
A10743	talk.politics.misc
A10744	talk.politics.misc
A10745	talk.politics.misc
A10746	talk.politics.misc
A10747	talk.politics.misc
A10748	talk.politics.misc
A10749	talk.politics.misc
A1075	comp.os.ms-windows.misc
A10750	talk.politics.misc
A10751	talk.politics.misc
A10752	talk.politics.misc
A10753	talk.politics.misc
A10754	talk.politics.misc
A10755	talk.politics.misc
A10756	talk.politics.misc
A10757	talk.politics.misc
A10758	talk.politics.misc
A10759	talk.politics.misc
A1076	comp.os.ms-windows.misc
A10760	talk.politics.misc
A10761	talk.politics.misc
A10762	talk.politics.misc
A10763	talk.politics.misc
A10764	talk.politics.misc
A10765	talk.politics.misc
A10766	talk.politics.misc
A10767	talk.politics.misc
A10768	talk.politics.misc
A10769	talk.politics.misc
A1077	comp.os.ms-windows.misc
A10770	talk.politics.misc
A10771	talk.politics.misc
A10772	talk.politics.misc
A10773	talk.politics.misc
A10774	talk.politics.misc
A10775	talk.politics.misc
A10776	talk.politics.misc
A10777	talk.politics.misc
A10778	talk.politics.misc
A10779	talk.politics.misc
A1078	comp.os.ms-windows.misc
A10780	talk.politics.misc
A10781	talk.politics.misc
A10782	talk.politics.misc
A10783	talk.politics.misc
A10784	talk.politics.misc
A10785	talk.politics.misc
A10786	talk.politics.misc
A10787	talk.politics.misc
A10788	talk.politics.misc
A10789	talk.politics.misc
A1079	comp.os.ms-windows.misc
A10790	talk.politics.misc
A10791	talk.politics.misc
A10792	talk.politics.misc
A10793	talk.politics.misc
A10794	talk.politics.misc
A10795	talk.politics.misc
A10796	talk.politics.misc
A10797	talk.politics.misc
A10798	talk.politics.misc
A10799	talk.politics.misc
A108	alt.atheism
A1080	comp.os.ms-windows.misc
A10800	talk.politics.misc
A10801	talk.politics.misc
A10802	talk.politics.misc
A10803	talk.politics.misc
A10804	talk.politics.misc
A10805	talk.politics.misc
A10806	talk.politics.misc
A10807	talk.politics.misc
A10808	talk.politics.misc
A10809	talk.politics.misc
A1081	comp.os.ms-windows.misc
A10810	talk.politics.misc
A10811	talk.politics.misc
A10812	talk.politics.misc
A10813	talk.politics.misc
A10814	talk.politics.misc
A10815	talk.politics.misc
A10816	talk.politics.misc
A10817	talk.politics.misc
A10818	talk.politics.misc
A10819	talk.politics.misc
A1082	comp.os.ms-windows.misc
A10820	talk.politics.misc
A10821	talk.politics.misc
A10822	talk.politics.misc
A10823	talk.politics.misc
A10824	talk.politics.misc
A10825	talk.politics.misc
A10826	talk.politics.misc
A10827	talk.politics.misc
A10828	talk.politics.misc
A10829	talk.politics.misc
A1083	comp.os.ms-windows.misc
A10830	talk.politics.misc
A10831	talk.politics.misc
A10832	talk.politics.misc
A10833	talk.politics.misc
A10834	talk.politics.misc
A10835	talk.politics.misc
A10836	talk.politics.misc
A10837	talk.politics.misc
A10838	talk.politics.misc
A10839	talk.politics.misc
A1084	comp.os.ms-windows.misc
A10840	talk.politics.misc
A10841	talk.politics.misc
A10842	talk.politics.misc
A10843	talk.politics.misc
A10844	talk.politics.misc
A10845	talk.politics.misc
A10846	talk.politics.misc
A10847	talk.politics.misc
A10848	talk.politics.misc
A10849	talk.politics.misc
A1085	comp.os.ms-windows.misc
A10850	talk.politics.misc
A10851	talk.politics.misc
A10852	talk.politics.misc
A10853	talk.politics.misc
A10854	talk.politics.misc
A10855	talk.politics.misc
A10856	talk.politics.misc
A10857	talk.politics.misc
A10858	talk.politics.misc
A10859	talk.politics.misc
A1086	comp.os.ms-windows.misc
A10860	talk.politics.misc
A10861	talk.politics.misc
A10862	talk.politics.misc
A10863	talk.politics.misc
A10864	talk.politics.misc
A10865	talk.politics.misc
A10866	talk.politics.misc
A10867	talk.politics.misc
A10868	talk.politics.misc
A10869	talk.politics.misc
A1087	comp.os.ms-windows.misc
A10870	talk.politics.misc
A10871	talk.politics.misc
A10872	talk.politics.misc
A10873	talk.politics.misc
A10874	talk.politics.misc
A10875	talk.politics.misc
A10876	talk.politics.misc
A10877	talk.politics.misc
A10878	talk.politics.misc
A10879	talk.politics.misc
A1088	comp.os.ms-windows.misc
A10880	talk.politics.misc
A10881	talk.politics.misc
A10882	talk.politics.misc
A10883	talk.politics.misc
A10884	talk.politics.misc
A10885	talk.politics.misc
A10886	talk.politics.misc
A10887	talk.politics.misc
A10888	talk.politics.misc
A10889	talk.politics.misc
A1089	comp.os.ms-windows.misc
A10890	talk.politics.misc
A10891	talk.politics.misc
A10892	talk.politics.misc
A10893	talk.politics.misc
A10894	talk.religion.misc
A10895	talk.religion.misc
A10896	talk.religion.misc
A10897	talk.religion.misc
A10898	talk.religion.misc
A10899	talk.religion.misc
A109	alt.atheism
A1090	comp.os.ms-windows.misc
A10900	talk.religion.misc
A10901	talk.religion.misc
A10902	talk.religion.misc
A10903	talk.religion.misc
A10904	talk.religion.misc
A10905	talk.religion.misc
A10906	talk.religion.misc
A10907	talk.religion.misc
A10908	talk.religion.misc
A10909	talk.religion.misc
A1091	comp.os.ms-windows.misc
A10910	talk.religion.misc
A10911	talk.religion.misc
A10912	talk.religion.misc
A10913	talk.religion.misc
A10914	talk.religion.misc
A10915	talk.religion.misc
A10916	talk.religion.misc
A10917	talk.religion.misc
A10918	talk.religion.misc
A10919	talk.religion.misc
A1092	comp.os.ms-windows.misc
A10920	talk.religion.misc
A10921	talk.religion.misc
A10922	talk.religion.misc
A10923	talk.religion.misc
A10924	talk.religion.misc
A10925	talk.religion.misc
A10926	talk.religion.misc
A10927	talk.religion.misc
A10928	talk.religion.misc
A10929	talk.religion.misc
A1093	comp.os.ms-windows.misc
A10930	talk.religion.misc
A10931	talk.religion.misc
A10932	talk.religion.misc
A10933	talk.religion.misc
A10934	talk.religion.misc
A10935	talk.religion.misc
