X	Y	Freq
1959	3959	495
1951	3951	548
1090	3090	507
1231	3231	490
768	2768	538
79	2079	478
1109	3109	476
1247	3247	439
88	2088	528
1721	3721	500
1955	3955	493
575	2575	499
1577	3577	463
1664	3664	481
146	2146	502
1438	3438	463
140	2140	509
499	2499	506
316	2316	482
606	2606	494
1369	3369	520
1529	3529	491
1969	3969	484
1706	3706	469
391	2391	469
1811	3811	486
64	2064	522
973	2973	515
198	2198	543
221	2221	515
1836	3836	480
711	2711	481
512	2512	486
429	2429	489
1887	3887	525
1377	3377	548
1423	3423	485
68	2068	526
419	2419	517
1696	3696	475
965	2965	514
91	2091	507
434	2434	487
1113	3113	487
1357	3357	521
1716	3716	447
1712	3712	509
1977	3977	474
1477	3477	467
1170	3170	449
1749	3749	495
1672	3672	514
1445	3445	513
1778	3778	526
331	2331	502
1262	3262	500
874	2874	507
1549	3549	504
259	2259	497
1439	3439	466
392	2392	481
893	2893	523
356	2356	544
1334	3334	492
985	2985	480
1796	3796	491
1884	3884	498
183	2183	541
1425	3425	460
603	2603	500
1418	3418	470
1598	3598	457
1825	3825	496
1370	3370	499
1846	3846	521
1903	3903	542
852	2852	486
1996	3996	464
549	2549	553
842	2842	520
1844	3844	454
489	2489	510
371	2371	502
615	2615	485
1116	3116	522
725	2725	461
1694	3694	508
882	2882	468
210	2210	509
825	2825	499
721	2721	469
311	2311	520
688	2688	486
1505	3505	546
1421	3421	494
1489	3489	513
1048	3048	506
1733	3733	501
1923	3923	495
877	2877	502
567	2567	455
11	2011	474
1926	3926	444
1402	3402	486
1178	3178	573
1263	3263	513
1567	3567	511
1248	3248	477
1463	3463	526
1050	3050	452
1501	3501	506
696	2696	510
665	2665	490
640	2640	500
1088	3088	523
1523	3523	526
24	2024	482
1249	3249	513
722	2722	507
345	2345	544
581	2581	521
1816	3816	545
136	2136	517
661	2661	491
733	2733	507
502	2502	513
1145	3145	497
908	2908	499
1180	3180	495
743	2743	477
1550	3550	505
1899	3899	464
1260	3260	476
1465	3465	510
706	2706	443
1440	3440	504
547	2547	476
1424	3424	524
513	2513	505
1408	3408	538
1024	3024	511
17	2017	471
1490	3490	498
484	2484	504
1779	3779	502
964	2964	515
1640	3640	535
114	2114	477
1588	3588	511
1584	3584	501
1777	3777	528
1095	3095	483
585	2585	529
1744	3744	502
1515	3515	517
854	2854	545
1384	3384	514
637	2637	483
878	2878	525
620	2620	503
631	2631	478
839	2839	510
293	2293	493
930	2930	524
857	2857	476
518	2518	540
1456	3456	509
339	2339	500
1396	3396	497
1626	3626	467
532	2532	478
67	2067	513
1785	3785	510
724	2724	482
472	2472	538
56	2056	511
1566	3566	525
436	2436	536
827	2827	501
1600	3600	455
1001	3001	548
1093	3093	485
1717	3717	507
1713	3713	504
963	2963	512
253	2253	534
1574	3574	504
320	2320	513
1019	3019	473
63	2063	517
998	2998	513
1935	3935	519
1346	3346	517
1795	3795	492
1470	3470	474
1267	3267	470
1619	3619	529
674	2674	520
309	2309	504
1492	3492	500
1197	3197	472
780	2780	475
1773	3773	552
542	2542	551
27	2027	473
1782	3782	521
18	2018	474
895	2895	474
167	2167	522
1056	3056	500
181	2181	459
1854	3854	463
1707	3707	504
558	2558	487
972	2972	501
806	2806	508
1815	3815	500
1551	3551	497
534	2534	492
659	2659	482
1518	3518	504
1754	3754	499
1565	3565	471
53	2053	485
1620	3620	523
271	2271	479
529	2529	504
1555	3555	519
1888	3888	462
993	2993	497
915	2915	502
410	2410	499
474	2474	481
509	2509	511
400	2400	514
900	2900	526
405	2405	487
1918	3918	489
1806	3806	484
1651	3651	515
587	2587	516
1136	3136	526
1040	3040	519
1147	3147	507
1870	3870	542
486	2486	455
160	2160	475
1347	3347	467
679	2679	503
397	2397	481
1221	3221	521
1193	3193	511
1189	3189	496
526	2526	491
982	2982	485
1083	3083	516
306	2306	517
897	2897	503
1665	3665	541
942	2942	491
1866	3866	487
99	2099	528
1772	3772	494
1070	3070	519
1062	3062	517
884	2884	549
1481	3481	513
912	2912	523
1162	3162	493
1000	3000	495
1608	3608	502
1534	3534	507
630	2630	505
369	2369	498
9	2009	516
13	2013	504
880	2880	508
845	2845	518
1542	3542	493
815	2815	495
699	2699	480
1068	3068	494
1107	3107	534
1848	3848	478
1635	3635	528
1942	3942	502
250	2250	514
797	2797	507
1650	3650	491
1514	3514	486
289	2289	515
1886	3886	502
687	2687	499
75	2075	503
904	2904	494
723	2723	521
736	2736	502
1667	3667	503
868	2868	500
545	2545	485
610	2610	519
1164	3164	557
73	2073	487
830	2830	517
608	2608	490
155	2155	487
101	2101	484
934	2934	524
1245	3245	542
1176	3176	493
951	2951	519
1533	3533	523
1412	3412	485
1119	3119	486
543	2543	485
182	2182	488
974	2974	504
239	2239	487
1556	3556	494
1443	3443	483
488	2488	507
698	2698	505
421	2421	452
650	2650	468
1956	3956	473
393	2393	495
1856	3856	474
135	2135	497
944	2944	498
574	2574	495
970	2970	511
1790	3790	484
401	2401	481
1898	3898	515
1783	3783	504
408	2408	511
560	2560	478
1323	3323	553
1380	3380	532
1983	3983	509
657	2657	508
157	2157	468
1639	3639	521
1354	3354	489
1031	3031	510
197	2197	490
195	2195	473
1981	3981	468
1765	3765	525
226	2226	480
1287	3287	481
26	2026	500
110	2110	463
1071	3071	487
1089	3089	517
671	2671	535
859	2859	483
452	2452	522
442	2442	497
1979	3979	520
1124	3124	469
1310	3310	523
601	2601	448
1268	3268	513
1240	3240	464
1864	3864	484
770	2770	486
1201	3201	509
1807	3807	486
1799	3799	490
1043	3043	519
368	2368	494
1479	3479	501
315	2315	480
1140	3140	498
1112	3112	478
572	2572	504
295	2295	465
1613	3613	525
981	2981	485
1734	3734	516
355	2355	458
983	2983	492
858	2858	484
796	2796	466
78	2078	475
22	2022	522
257	2257	524
1679	3679	484
788	2788	512
664	2664	504
960	2960	527
1218	3218	478
669	2669	520
1468	3468	518
1680	3680	503
1813	3813	516
1766	3766	510
1758	3758	509
328	2328	505
1762	3762	517
1362	3362	488
287	2287	542
1331	3331	491
1539	3539	482
1756	3756	476
1685	3685	550
1771	3771	548
902	2902	490
1045	3045	502
420	2420	478
428	2428	519
583	2583	504
1564	3564	493
1236	3236	499
1487	3487	535
1392	3392	502
1869	3869	502
211	2211	490
1431	3431	454
297	2297	496
1374	3374	491
187	2187	509
132	2132	464
1800	3800	514
832	2832	474
470	2470	499
1036	3036	477
1185	3185	516
947	2947	478
1169	3169	518
1454	3454	483
1801	3801	497
1788	3788	531
829	2829	521
821	2821	507
31	2031	479
247	2247	461
15	2015	513
955	2955	504
148	2148	476
754	2754	527
25	2025	525
741	2741	467
1855	3855	536
739	2739	532
143	2143	483
1121	3121	498
580	2580	478
1270	3270	474
1928	3928	502
383	2383	509
1637	3637	499
778	2778	531
932	2932	456
1091	3091	495
777	2777	511
244	2244	505
240	2240	525
1966	3966	483
156	2156	488
923	2923	476
1957	3957	508
958	2958	490
1167	3167	506
1851	3851	497
818	2818	507
511	2511	450
783	2783	555
775	2775	483
1952	3952	475
1987	3987	525
525	2525	480
905	2905	483
450	2450	487
1497	3497	466
1868	3868	507
1517	3517	501
23	2023	540
1731	3731	493
1436	3436	547
779	2779	498
1902	3902	530
1821	3821	520
860	2860	511
715	2715	499
1967	3967	551
1085	3085	504
1535	3535	480
853	2853	474
822	2822	503
870	2870	500
1120	3120	489
1365	3365	487
307	2307	483
1082	3082	512
1069	3069	478
517	2517	486
883	2883	482
519	2519	493
660	2660	458
731	2731	520
557	2557	521
398	2398	486
70	2070	521
862	2862	491
1572	3572	498
654	2654	487
826	2826	494
1638	3638	507
449	2449	526
1630	3630	472
1540	3540	527
732	2732	515
1905	3905	563
1648	3648	510
1910	3910	499
1768	3768	521
1504	3504	517
539	2539	521
756	2756	503
1805	3805	501
523	2523	495
1486	3486	523
1914	3914	453
892	2892	501
1781	3781	535
1743	3743	465
521	2521	530
1025	3025	522
1552	3552	446
693	2693	467
1770	3770	548
1319	3319	524
1460	3460	512
681	2681	511
193	2193	495
1428	3428	535
646	2646	487
1832	3832	507
161	2161	532
1150	3150	551
300	2300	485
66	2066	509
844	2844	492
1649	3649	521
1047	3047	495
1191	3191	531
1187	3187	492
1616	3616	508
1741	3741	485
819	2819	495
1478	3478	452
938	2938	496
1029	3029	483
1751	3751	503
898	2898	475
1507	3507	513
1353	3353	515
1291	3291	479
1570	3570	478
245	2245	509
612	2612	522
1920	3920	485
1448	3448	483
1568	3568	515
929	2929	517
467	2467	470
613	2613	479
1580	3580	541
1657	3657	484
1962	3962	476
1340	3340	505
1618	3618	494
1022	3022	526
1624	3624	537
485	2485	511
1134	3134	463
1948	3948	473
1037	3037	520
1403	3403	462
586	2586	482
907	2907	486
1475	3475	505
1371	3371	514
1829	3829	521
678	2678	494
1723	3723	507
1628	3628	509
1797	3797	466
957	2957	484
433	2433	547
422	2422	555
111	2111	533
1458	3458	498
616	2616	485
1669	3669	505
1893	3893	477
514	2514	482
1610	3610	518
1814	3814	522
36	2036	520
745	2745	495
638	2638	460
1220	3220	513
1569	3569	523
1342	3342	502
548	2548	490
594	2594	522
703	2703	531
1415	3415	499
561	2561	527
304	2304	544
1740	3740	490
1933	3933	485
273	2273	533
1226	3226	478
1557	3557	520
824	2824	451
1294	3294	547
1861	3861	477
926	2926	480
1913	3913	513
994	2994	514
58	2058	471
1775	3775	506
1858	3858	510
305	2305	499
116	2116	515
72	2072	513
1644	3644	521
1166	3166	508
1320	3320	458
153	2153	525
1413	3413	477
1394	3394	456
863	2863	494
867	2867	473
737	2737	504
757	2757	463
781	2781	523
1	2001	531
444	2444	498
269	2269	497
1058	3058	490
752	2752	502
1467	3467	501
1026	3026	534
43	2043	503
47	2047	466
1181	3181	528
1103	3103	527
924	2924	505
1591	3591	473
1511	3511	517
491	2491	493
1941	3941	489
1307	3307	495
1358	3358	535
928	2928	516
29	2029	540
150	2150	529
1359	3359	498
896	2896	538
12	2012	521
1867	3867	486
5	2005	516
1536	3536	500
995	2995	486
1720	3720	493
1366	3366	484
1012	3012	512
1279	3279	507
1141	3141	499
1032	3032	513
917	2917	472
978	2978	500
1064	3064	491
735	2735	495
343	2343	483
1348	3348	492
1488	3488	498
619	2619	519
1862	3862	487
1874	3874	512
876	2876	517
1351	3351	521
1203	3203	480
1931	3931	499
418	2418	480
1595	3595	524
906	2906	487
1945	3945	496
990	2990	484
277	2277	495
90	2090	531
1631	3631	491
4	2004	497
313	2313	509
1687	3687	493
1272	3272	545
962	2962	507
93	2093	534
493	2493	592
1582	3582	491
360	2360	504
1161	3161	489
709	2709	475
219	2219	508
1227	3227	511
1244	3244	516
1399	3399	528
298	2298	497
1275	3275	487
718	2718	530
552	2552	505
847	2847	491
614	2614	510
887	2887	512
361	2361	518
457	2457	541
1183	3183	457
530	2530	523
1417	3417	474
522	2522	502
1266	3266	507
1033	3033	477
1232	3232	509
131	2131	487
1645	3645	460
1160	3160	517
402	2402	507
1372	3372	501
1950	3950	516
127	2127	486
1127	3127	514
1791	3791	475
609	2609	506
171	2171	491
1104	3104	488
1063	3063	495
204	2204	504
903	2903	504
261	2261	523
1172	3172	517
201	2201	515
456	2456	500
750	2750	460
1753	3753	471
1530	3530	494
118	2118	487
447	2447	501
20	2020	517
1202	3202	461
899	2899	537
173	2173	508
666	2666	480
218	2218	486
1055	3055	476
922	2922	507
782	2782	501
1264	3264	522
117	2117	508
1300	3300	504
1361	3361	528
834	2834	489
849	2849	495
761	2761	457
324	2324	499
1808	3808	493
507	2507	492
1254	3254	524
122	2122	472
1013	3013	514
359	2359	503
1693	3693	477
141	2141	479
164	2164	487
677	2677	465
386	2386	517
742	2742	483
820	2820	509
1692	3692	488
719	2719	479
1877	3877	513
760	2760	475
1397	3397	495
1450	3450	547
1652	3652	539
1541	3541	498
1097	3097	516
1238	3238	496
1512	3512	494
254	2254	502
753	2753	544
1850	3850	522
159	2159	470
1473	3473	481
84	2084	480
1360	3360	460
77	2077	510
624	2624	478
278	2278	476
1433	3433	484
989	2989	478
1138	3138	506
1098	3098	480
528	2528	472
675	2675	506
1495	3495	529
802	2802	536
172	2172	532
234	2234	491
57	2057	498
1724	3724	506
577	2577	464
652	2652	533
416	2416	488
707	2707	502
1878	3878	514
1401	3401	511
1217	3217	528
222	2222	499
41	2041	498
45	2045	472
33	2033	507
695	2695	476
676	2676	470
1483	3483	521
738	2738	517
1865	3865	515
1980	3980	502
411	2411	509
1446	3446	479
1954	3954	504
180	2180	514
107	2107	464
55	2055	479
1755	3755	474
1901	3901	481
1318	3318	517
875	2875	511
931	2931	524
808	2808	508
1715	3715	482
1930	3930	550
1398	3398	528
1204	3204	537
1989	3989	483
61	2061	497
370	2370	485
1459	3459	504
1970	3970	473
126	2126	515
1809	3809	511
119	2119	531
787	2787	499
1383	3383	510
1968	3968	485
1165	3165	507
481	2481	487
520	2520	511
1882	3882	483
1251	3251	507
1818	3818	505
668	2668	462
480	2480	478
927	2927	489
1364	3364	505
1554	3554	505
97	2097	520
1978	3978	496
1932	3932	478
793	2793	483
1451	3451	483
453	2453	457
1737	3737	471
1976	3976	487
109	2109	501
1612	3612	513
921	2921	502
162	2162	479
592	2592	483
1885	3885	466
628	2628	512
60	2060	513
1831	3831	517
685	2685	528
980	2980	496
1422	3422	507
346	2346	502
454	2454	491
591	2591	524
1601	3601	487
810	2810	460
448	2448	480
1589	3589	483
1096	3096	467
1188	3188	508
30	2030	481
177	2177	507
1329	3329	497
6	2006	497
1156	3156	517
680	2680	490
1761	3761	530
1179	3179	517
1745	3745	472
203	2203	500
1206	3206	495
578	2578	485
215	2215	519
235	2235	527
1061	3061	515
1414	3414	506
1708	3708	466
87	2087	498
755	2755	519
1078	3078	472
466	2466	512
130	2130	499
1776	3776	502
1054	3054	527
1143	3143	503
1824	3824	520
378	2378	506
1668	3668	496
835	2835	514
673	2673	453
1835	3835	457
546	2546	471
1532	3532	488
792	2792	465
1599	3599	491
1385	3385	469
1480	3480	475
1437	3437	527
987	2987	466
1462	3462	468
1817	3817	511
476	2476	508
503	2503	489
1053	3053	519
1803	3803	514
441	2441	459
1009	3009	483
1237	3237	506
1148	3148	474
1842	3842	482
1857	3857	471
1004	3004	505
158	2158	495
1908	3908	527
266	2266	515
1641	3641	523
713	2713	491
28	2028	486
1586	3586	497
1938	3938	479
412	2412	469
39	2039	482
1284	3284	500
1252	3252	490
544	2544	498
621	2621	505
1075	3075	466
626	2626	541
1326	3326	481
1548	3548	497
535	2535	484
1298	3298	511
1302	3302	499
326	2326	503
1691	3691	453
1646	3646	493
432	2432	470
1647	3647	518
1503	3503	462
1919	3919	497
1198	3198	487
1051	3051	525
1027	3027	507
1594	3594	478
1656	3656	473
333	2333	484
1105	3105	500
1060	3060	482
1986	3986	483
500	2500	467
1927	3927	512
1028	3028	470
1704	3704	491
1633	3633	565
763	2763	522
1382	3382	548
1738	3738	499
992	2992	517
935	2935	484
1046	3046	499
1683	3683	506
1602	3602	509
565	2565	478
1265	3265	475
207	2207	506
364	2364	526
238	2238	495
1746	3746	504
632	2632	509
1461	3461	537
334	2334	499
1682	3682	518
169	2169	490
1666	3666	504
468	2468	489
531	2531	526
455	2455	473
1662	3662	481
744	2744	519
945	2945	495
206	2206	492
919	2919	506
1984	3984	513
651	2651	452
1494	3494	472
1146	3146	514
812	2812	503
1875	3875	491
471	2471	505
35	2035	471
728	2728	534
341	2341	504
1207	3207	507
34	2034	510
730	2730	525
541	2541	452
353	2353	480
425	2425	490
672	2672	483
149	2149	506
600	2600	472
208	2208	520
125	2125	508
120	2120	475
406	2406	473
292	2292	476
494	2494	503
260	2260	459
1209	3209	507
1405	3405	496
869	2869	516
310	2310	509
1916	3916	508
323	2323	475
1526	3526	498
1661	3661	508
1376	3376	498
1234	3234	490
1309	3309	477
1702	3702	472
1081	3081	507
349	2349	500
556	2556	549
1199	3199	529
1896	3896	506
1852	3852	506
1573	3573	528
38	2038	550
308	2308	513
1513	3513	503
1065	3065	555
348	2348	544
1057	3057	480
461	2461	507
734	2734	567
670	2670	513
850	2850	472
1233	3233	465
1407	3407	472
716	2716	553
377	2377	478
1579	3579	544
925	2925	521
714	2714	514
1200	3200	514
83	2083	495
1827	3827	463
1939	3939	527
1250	3250	542
1099	3099	495
1925	3925	484
1634	3634	486
367	2367	450
1400	3400	486
1937	3937	543
1946	3946	505
249	2249	519
1007	3007	554
1623	3623	490
351	2351	527
1210	3210	505
538	2538	511
658	2658	497
1049	3049	459
643	2643	495
1688	3688	503
121	2121	484
855	2855	495
554	2554	475
1726	3726	531
784	2784	468
477	2477	490
1212	3212	507
1255	3255	480
617	2617	514
1259	3259	506
389	2389	500
179	2179	493
846	2846	479
582	2582	525
1841	3841	482
1537	3537	493
1605	3605	512
1804	3804	472
0	2000	471
1525	3525	526
977	2977	491
1736	3736	503
996	2996	499
321	2321	458
1286	3286	519
1314	3314	526
424	2424	474
82	2082	486
223	2223	465
751	2751	512
1111	3111	478
836	2836	501
720	2720	500
1003	3003	480
1686	3686	539
1388	3388	498
1863	3863	468
51	2051	568
909	2909	538
302	2302	521
506	2506	464
330	2330	473
440	2440	481
65	2065	479
3	2003	545
1363	3363	492
634	2634	471
340	2340	472
569	2569	531
40	2040	500
1784	3784	546
1336	3336	457
747	2747	540
281	2281	519
496	2496	515
274	2274	492
1332	3332	521
1769	3769	500
19	2019	479
430	2430	540
1277	3277	496
294	2294	512
1034	3034	467
799	2799	508
1911	3911	521
123	2123	521
916	2916	482
588	2588	517
1324	3324	509
1837	3837	500
1014	3014	497
911	2911	482
1943	3943	481
1907	3907	494
828	2828	493
1538	3538	502
656	2656	524
1859	3859	517
1545	3545	460
683	2683	464
1697	3697	478
1681	3681	508
1802	3802	480
1182	3182	488
952	2952	525
871	2871	523
515	2515	489
1675	3675	518
427	2427	502
1695	3695	482
460	2460	528
1690	3690	471
279	2279	474
1356	3356	457
1006	3006	492
890	2890	516
256	2256	526
1343	3343	478
1092	3092	479
891	2891	479
864	2864	497
1562	3562	544
403	2403	514
1434	3434	566
413	2413	506
765	2765	486
1285	3285	517
1510	3510	451
1368	3368	470
766	2766	496
212	2212	519
865	2865	446
145	2145	492
363	2363	482
1922	3922	492
1194	3194	478
1283	3283	500
1992	3992	500
536	2536	467
144	2144	530
1157	3157	451
1659	3659	509
237	2237	502
1703	3703	466
1261	3261	488
708	2708	497
373	2373	494
1853	3853	537
270	2270	511
625	2625	487
1767	3767	524
385	2385	473
726	2726	459
1876	3876	514
1891	3891	470
1130	3130	524
1757	3757	528
372	2372	498
1449	3449	494
936	2936	486
213	2213	484
1464	3464	505
1256	3256	506
979	2979	499
910	2910	455
510	2510	524
1214	3214	500
1849	3849	522
881	2881	459
190	2190	507
1872	3872	528
1325	3325	497
1030	3030	466
473	2473	430
748	2748	506
885	2885	506
1035	3035	497
1042	3042	504
1021	3021	498
1558	3558	501
1002	3002	478
1441	3441	513
1151	3151	499
1484	3484	532
1747	3747	506
1381	3381	483
186	2186	479
1830	3830	498
889	2889	502
705	2705	480
344	2344	489
1271	3271	480
482	2482	480
969	2969	484
1699	3699	511
840	2840	510
1725	3725	529
1958	3958	486
439	2439	491
426	2426	524
475	2475	504
1411	3411	549
1752	3752	557
1404	3404	509
1677	3677	463
1995	3995	500
1571	3571	499
694	2694	504
1115	3115	486
1519	3519	509
232	2232	507
997	2997	516
1636	3636	514
1674	3674	490
986	2986	481
291	2291	523
692	2692	497
595	2595	468
649	2649	524
404	2404	506
1500	3500	537
1192	3192	489
62	2062	455
44	2044	497
1316	3316	526
478	2478	501
1390	3390	458
593	2593	538
170	2170	540
1015	3015	533
1044	3044	465
48	2048	471
1491	3491	508
811	2811	502
1730	3730	493
228	2228	515
1175	3175	505
329	2329	476
267	2267	526
1144	3144	569
280	2280	533
1881	3881	472
559	2559	514
689	2689	495
100	2100	540
1306	3306	505
21	2021	516
1625	3625	443
653	2653	488
1964	3964	549
1999	3999	518
1592	3592	495
1235	3235	468
838	2838	492
1553	3553	481
1076	3076	505
59	2059	523
1241	3241	487
379	2379	470
848	2848	491
1629	3629	484
805	2805	467
358	2358	474
1949	3949	497
1308	3308	545
773	2773	458
551	2551	541
1344	3344	483
301	2301	508
602	2602	457
791	2791	523
1102	3102	500
774	2774	493
1273	3273	510
1281	3281	493
1729	3729	511
1391	3391	508
1993	3993	524
576	2576	510
645	2645	497
967	2967	496
1471	3471	532
1698	3698	471
1333	3333	443
1764	3764	498
1917	3917	546
196	2196	518
1909	3909	488
236	2236	553
81	2081	532
1469	3469	458
242	2242	491
1419	3419	493
1186	3186	488
956	2956	516
1578	3578	532
214	2214	501
1131	3131	516
1205	3205	547
319	2319	494
1611	3611	537
598	2598	518
886	2886	534
1452	3452	543
1603	3603	489
71	2071	497
115	2115	488
387	2387	492
112	2112	546
86	2086	515
1393	3393	509
1077	3077	498
1482	3482	501
1432	3432	510
1295	3295	520
1299	3299	500
1988	3988	484
1498	3498	494
1748	3748	522
284	2284	512
1345	3345	482
1544	3544	496
1229	3229	552
458	2458	503
374	2374	503
746	2746	515
105	2105	504
272	2272	553
1008	3008	530
264	2264	523
1341	3341	516
2	2002	483
950	2950	516
1184	3184	509
1020	3020	551
1301	3301	496
759	2759	505
1039	3039	507
151	2151	482
147	2147	483
941	2941	493
1242	3242	484
1073	3073	516
527	2527	486
417	2417	507
1606	3606	496
937	2937	493
1288	3288	454
1173	3173	491
627	2627	499
913	2913	465
1499	3499	523
80	2080	539
1311	3311	506
265	2265	505
243	2243	528
940	2940	481
501	2501	503
968	2968	549
1474	3474	513
446	2446	473
1052	3052	504
605	2605	521
52	2052	503
702	2702	504
767	2767	482
1502	3502	491
999	2999	509
772	2772	502
1389	3389	507
1839	3839	489
1972	3972	442
76	2076	505
1543	3543	494
1429	3429	516
1940	3940	495
246	2246	508
1563	3563	508
1101	3101	458
794	2794	491
1274	3274	502
571	2571	460
1982	3982	497
1593	3593	471
943	2943	519
1011	3011	470
1023	3023	523
1711	3711	454
1632	3632	517
1621	3621	484
662	2662	469
550	2550	483
816	2816	498
1760	3760	513
562	2562	496
663	2663	445
727	2727	518
414	2414	539
217	2217	490
194	2194	553
317	2317	528
697	2697	464
407	2407	486
1561	3561	499
717	2717	474
251	2251	474
1125	3125	470
1126	3126	506
382	2382	507
103	2103	479
843	2843	519
1072	3072	511
524	2524	502
322	2322	504
1312	3312	502
1912	3912	505
1296	3296	507
463	2463	471
1998	3998	493
335	2335	454
129	2129	539
376	2376	495
1722	3722	477
163	2163	490
1258	3258	479
1705	3705	494
1159	3159	486
1427	3427	484
1079	3079	506
296	2296	497
1889	3889	501
894	2894	504
516	2516	493
1994	3994	505
209	2209	470
95	2095	531
647	2647	490
1190	3190	538
1222	3222	493
1152	3152	506
139	2139	486
